=== KANDIDAT-UBRUKTE FUNKSJONER (GROVT) ===
MULIG UBRUKT FUNKSJON: find_historical_claim  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: generate_parity_verdict  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: generate_report  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/parity_audit.py, treff=0)
MULIG UBRUKT FUNKSJON: extract_range_edge_dist_atr  (modul=gx1/analysis/verify_guardrail_effect.py, treff=0)
MULIG UBRUKT FUNKSJON: get_trade_key  (modul=gx1/analysis/verify_guardrail_effect.py, treff=0)
MULIG UBRUKT FUNKSJON: calculate_metrics  (modul=gx1/analysis/verify_guardrail_effect.py, treff=0)
MULIG UBRUKT FUNKSJON: find_overridden_trades  (modul=gx1/analysis/verify_guardrail_effect.py, treff=0)
MULIG UBRUKT FUNKSJON: verify_no_caching  (modul=gx1/analysis/verify_guardrail_effect.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/verify_guardrail_effect.py, treff=0)
MULIG UBRUKT FUNKSJON: infer_run_policy_hint  (modul=gx1/analysis/build_exit_policy_training_dataset_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: _policy_name_from_exit_profile  (modul=gx1/analysis/build_exit_policy_training_dataset_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: _csv_row_to_trade_dict  (modul=gx1/analysis/build_exit_policy_training_dataset_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: _extract_trade_data  (modul=gx1/analysis/build_exit_policy_training_dataset_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: load_trades_from_run  (modul=gx1/analysis/build_exit_policy_training_dataset_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: build_dataset_v3  (modul=gx1/analysis/build_exit_policy_training_dataset_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/build_exit_policy_training_dataset_v3.py, treff=0)
MULIG UBRUKT FUNKSJON: map_exit_profile_to_policy  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: load_trades_from_run  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_metrics_for_run  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: print_comparison_table  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: sort_key  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: extract_range_edge_dist_atr  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_drawdown_clusters  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: analyze_range_edge_buckets  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: assign_bucket  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: print_range_edge_analysis  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: analyze_time_windows  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: print_time_window_analysis  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: run_regime_analysis  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: calculate_intratrade_metrics  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: analyze_intratrade_risk  (modul=gx1/analysis/compare_exit_routers_fullyear.py, treff=0)
MULIG UBRUKT FUNKSJON: load_yaml_config  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: find_policy_file  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: load_policy_bundle  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: normalize_config_for_diff  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: categorize_diff  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: diff_dicts  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: extract_runtime_overrides  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_file_hash  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: baseline_parity_check  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: compare_period_subset  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: generate_report  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: main  (modul=gx1/analysis/diff_runs.py, treff=0)
MULIG UBRUKT FUNKSJON: build_sequence_features  (modul=gx1/seq/sequence_features.py, treff=0)
MULIG UBRUKT FUNKSJON: get_sequence_feature_names  (modul=gx1/seq/sequence_features.py, treff=0)
MULIG UBRUKT FUNKSJON: build_seq_features_for_v8  (modul=gx1/seq/sequence_features.py, treff=0)
MULIG UBRUKT FUNKSJON: build_snap_features_for_v8  (modul=gx1/seq/sequence_features.py, treff=0)
MULIG UBRUKT FUNKSJON: export_feature_manifest  (modul=gx1/features/feature_manifest.py, treff=0)
MULIG UBRUKT FUNKSJON: load_feature_manifest  (modul=gx1/features/feature_manifest.py, treff=0)
MULIG UBRUKT FUNKSJON: validate_runtime_features  (modul=gx1/features/feature_manifest.py, treff=0)
MULIG UBRUKT FUNKSJON: _dtypes_compatible  (modul=gx1/features/feature_manifest.py, treff=0)
MULIG UBRUKT FUNKSJON: compute_feature_hash  (modul=gx1/features/feature_manifest.py, treff=0)
